Reference,Quantity,Name,Description,Package,Value
"7R100,7R101,7R102,7R103,7R104,7R105,7R106,7R107,7R108,7R109,7R110,7R111,7R112,7R113,2R13,9R134,9R135,9R136,9R137,9R138,9R139,2R14,9R140,9R141,9R142,9R143,9R144,9R145,9R146,9R147,9R148,9R149,9R150,9R151,9R152,9R153,9R154,9R155,9R156,9R157,9R158,9R159,9R160,9R161,9R162,9R163,9R164,4R67,4R68,5R81,5R82", 51,R,Resistor,0603,33e
"4R63,4R64,5R77,5R78",  4,R,Resistor,0603,33k
"10R174,1R5,1R6,6R89,6R91",  5,R,Resistor,0603,3k6
"8R119,8R126,8R129,8R132",  4,R,Resistor,0603,470e
"3R15,3R16,10R175,3R25,3R26,3R35,3R36,3R45,3R46,6R90,6R92", 11,R,Resistor,0603,6k8
"8R121,8R122,8R123,8R124,4R177,5R178,1R179",  7,R,Resistor,0603,DNP
"9R165",  1,R,Resistor,0603,DNP1
"1R1",  1,R,Resistor,DO-41,390k
"16J1001",  1,RCA,Phono connector,RCA,..
"16U1022",  1,SN74LV00A,Positive-nand Gates,TSSOP-14,SN74LV00A
"16T1001",  1,T1A,Transformer,4DIP300,..
"1U1,3U13,3U15,3U17,4U19,5U22,3U7",  7,THS4131,Diff-Amp,MSOP-8,THS4131
"7U31",  1,TLV1117,TLV1117,SOT-223,TLV1117-18
"10U53",  1,TLV1117,TLV1117,SOT-223,TLV1117-33
"1U2,7U30,7U33,10U51,10U52",  5,TLV1117,TLV1117,SOT-223,TLV1117-50
"10U50",  1,TLV1117,TLV1117,SOT-223,TLV1117-ADJ
"10U56",  1,TMP275,Temperature Sensor,MSOP-8,TMP275
"18U1048,18U1056,18U2048,18U3048",  4,TMP275,Temperature,MSOP-8,TMP275
"3J10",  1,Term-2 Left,Terminal,SMA,ADC1
"3J9",  1,Term-2 Left,Terminal,SMA,ADC2
"3J8",  1,Term-2 Left,Terminal,SMA,ADC3
"3J7",  1,Term-2 Left,Terminal,SMA,ADC4
"4J11,5J12",  2,Term-2 Left,Terminal,SMA,ADC5
"9J29",  1,Term-2 Left,Terminal,SMA,Clock
"7J19",  1,Term-2 Left,Terminal,SMA,Iso1
"7J20",  1,Term-2 Left,Terminal,SMA,Iso2
"10J34,1J5",  2,Term-2 Left,Terminal,Term-2,12V
"1J6",  1,Term-2 Left,Terminal,Term-2,Input
